State Code,Reference Number,Multiple Name,URL
FL,64000115,Downtown Miami MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000115.pdf
FL,64000116,Miami Shores TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000116.pdf
FL,64000117,Opa-Locka TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000117.pdf
FL,64000118,Opa-Locka TR (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000118.pdf
FL,64000119,San Jose Estates TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000119.pdf
FL,64000120,Sarasota MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000120.pdf
GA,64000121,Baconton MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000121.pdf
GA,64000122,Cave Spring MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000122.pdf
GA,64000123,Clarkesville MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000123.pdf
GA,64000124,Columbus MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000124.pdf
GA,64000125,"County Jails of Ben Hill, Berrien, Brooks, and Turner Counties TR",http://pdfhost.focus.nps.gov/docs/nrhp/text/64000125.pdf
GA,64000127,County Jails of the Georgia Mountains Area TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000127.pdf
GA,64000129,Cumberland Island National Seashore MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000129.pdf
GA,64000130,Georgia County Courthouses TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000130.pdf
GA,64000131,Georgia County Courthouses TR (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000131.pdf
GA,64000132,Greensboro MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000132.pdf
GA,64000133,Hartwell MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000133.pdf
GA,64000134,Kennesaw MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000134.pdf
GA,64000135,Lavonia MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000135.pdf
GA,64000136,Lumpkin Georgia MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000136.pdf
GA,64000137,Marshallville and Vicinity MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000137.pdf
GA,64000138,Monroe MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000138.pdf
GA,64000139,West Paces Ferry Road MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000139.pdf
GU,64000140,Agana Houses TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000140.pdf
GU,64000141,Japanese Coastal Defense Fortifications on Guam TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000141.pdf
HI,64000142,Artillery District of Honolulu TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000142.pdf
HI,64000143,Chinese Tong Houses of Maui Island TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000143.pdf
HI,64000144,Fire Stations of Oahu TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000144.pdf
HI,64000145,Fire Stations of Oahu TR (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000145.pdf
HI,64000146,Honolulu Tudor--French Norman Cottages TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000146.pdf
IA,64000147,County Courthouses in Iowa TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000147.pdf
IA,64000148,County Courthouses in Iowa TR (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000148.pdf
IA,64000149,Davenport MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000149.pdf
IA,64000150,Guttenberg MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000150.pdf
IA,64000151,Houses of Mississippi River Men TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000151.pdf
IA,64000152,Iowa Round Barns: The Sixty Year Experiment TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000152.pdf
IA,64000153,Iowa Round Barns: The Sixty Year Experiment TR (AD),http://pdfhost.focus.nps.gov/docs/nrhp/text/64000153.pdf
IA,64000154,"Legacy in Stone: The Settlement Era of Madison County, Iowa TR",http://pdfhost.focus.nps.gov/docs/nrhp/text/64000154.pdf
IA,64000155,"Legacy in Stone: The Settlement Era of Madison County, Iowa TR (AD)",http://pdfhost.focus.nps.gov/docs/nrhp/text/64000155.pdf
IA,64000156,Prairie School Architecture in Mason City TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000156.pdf
IA,64000157,Public Library Buildings in Iowa TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000157.pdf
ID,64000159,Boise Public Schools TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000159.pdf
ID,64000160,Buhl Dairy Barns TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000160.pdf
ID,64000161,Challis MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000161.pdf
ID,64000162,Early Churches of Emmett TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000162.pdf
ID,64000163,Idaho Falls Downtown MRA,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000163.pdf
ID,64000164,Kootenai County Rural Schools TR,http://pdfhost.focus.nps.gov/docs/nrhp/text/64000164.pdf
